Condition,Are you a host on Airbnb?,How often do you use Airbnb?,Qualitative Feedback,Pre-Feedback,Post-Feedback,Pre-Feedback Ability,Pre-Feedback Benevolence,Pre-Feedback Integrity,Pre-Feedback Overall Trustworthiness (Holistic),Post-Feedback Ability,Post-Feedback Benevolence,Post-Feedback Integrity,Post-Feedback Overall Quality (Holistic)
3,No,3,I didn't get much feedback other than good job.  ,"I am a divorced mother of two who takes great pride in building relationships and friendships.  I have a 16 year old and 10 year old son.  We love road trips and traveling to new destinations.  We like to take part in the local fare when traveling.  Some would say I am a foodie, as I love all kinds of delicious food.  I love to catch up on murder mystery shows as I run on the treadmill and get a bit cranky if I miss my workout.  I want to be friendly with the people who stay at my house.  It's so special to me, and I want to make sure it's special to you and that you can experience all that the neighborhood has to offer.  You will feel apart of our world when you stay at my property.  The way that I like to live my life is: \""""Life should NOT be a journey to the grave with the intention of arriving safely in an attractive and well preserved body...but rather to skid in sideways, chocolate in one hand - martini in the other, body thoroughly used up, totally worn out and screaming WOO~HOO - What a Ride!\""""   I look forward to getting to know you.","I am a divorced mother of two who takes great pride in building relationships and friendships.  I have a 16 year old and 10 year old son.  We love road trips and traveling to new destinations.  We like to take part in the local fare when traveling.  Some would say I am a foodie, as I love all kinds of delicious food.  I love to catch up on murder mystery shows as I run on the treadmill and get a bit cranky if I miss my workout.  I want to be friendly with the people who stay at my house.  It's so special to me, and I want to make sure it's special to you and that you can experience all that the neighborhood has to offer.  You will feel apart of our world when you stay at my property.  The way that I like to live my life is: \""""Life should NOT be a journey to the grave with the intention of arriving safely in an attractive and well preserved body...but rather to skid in sideways, chocolate in one hand - martini in the other, body thoroughly used up, totally worn out and screaming WOO~HOO - What a Ride!\""""   I look forward to getting to know you.",3,4.5,6,4,3,4.5,6,4
2,No,5,Feedback was good as I tend to be wordy.,"As a hostess I fully believe in giving what I expect myself in a host.  My committment is to make each guest feel as if they are at home and only need to worry about themselves or their plans. My past travels have included London, Paris, vast parts of Germany and Swizterland.   From all of my national and international travels I have come up with a guest hosting location that will make each guest feel comfortable, relaxed and safe. I believe that travel and accomodations are a vital part of each trip. My guest would be welcomed as I would show them their space, see if they have any questions and then leave them to their own.  Each guest will receive a complimentary guide to the local area, set of clean soft towels for their use, available coffee or tea with small breakfast set up. I also have a popcorn maker with complimentary popcorn bags if the guest chooses to make some upon coming back and relaxing in their room at night to watch a movie.","As a hostess I fully believe in giving what I expect myself in a host.  My committment is to make each guest feel as if they are at home and only need to worry about themselves or their plans. My past travels have included most of Europe.  From all of my national and international travels I have come up with a guest hosting location that will make each guest feel comfortable, relaxed and safe. I believe that travel and accomodations are a vital part of each trip. My guest would be welcomed as I would show them their space, see if they have any questions and then leave them to their own.  Each guest will receive a complimentary guide to the local area, set of clean soft towels for their use, available coffee or tea with small breakfast set up. I also have a popcorn maker with complimentary popcorn bags if the guest chooses to make some upon coming back and relaxing in their room at night to watch a movie.",4,3,5,5,5,5,5,5
4,No,2,The feedback encouraged me to add some more details about myself and the place. ,"I'm a life long learning and nature lover.  I have decided to travel, so I'm putting my house up for rent. I will spend some time in Asia, Australia and Europe.  I plan to be away for at least 2 years.  I did a lot of research and spent a lot of time looking for the most perfect house that I can get.  What it lacks in size, it makes up for in comfort.  It has a nice breeze throughout the house.  The windows are strategically placed.  A tennis court and track is only 5 minute walk from the house.  I'm looking for someone that will love my house as though it was their own. ","I'm a life long learning and nature lover.  I have decided to travel, so I'm putting my house up for rent. I will spend some time in Asia, Australia and Europe.  I plan to be away for at least 2 years.  I did a lot of research and spent a lot of time looking for the most perfect house that I can get.  I'm a new web developer.  I have enought client, so I'm greatful for this oppurtunity to become a digital nomal. Treat others as you would like to be treated is what I live by.  I spend most of my days at home reading or watching movies.  The house has two bedrooms and a huge kitchen.  I love to cook, so you should have everything you need to prepare any meals. What it lacks in size, it makes up for in comfort.  It has a nice breeze throughout the house.  The windows are strategically placed.  A tennis court and track is only 5 minute walk from the house.  I'm looking for someone that will love my house as though it was their own.",5,4,4,4,7,4,4,4
3,No,5,"I did not receive segment level feedback, only doc level - I checked several times","Hi there!  I am a young professional working in the legal non-profit industry.  I am originally from Washington D.C. but for the last 5 years, I have been living in Paris, France.  I love travelling to new places and discovering new cultures.  One of my favorite trips was to Iceland, where we stayed with a local couple through AirBnb and shared a breakfast with them in the morning consisting of local Icelandic products.  They even washed our (wet and smelly) clothes!  I really enjoy how AirBnb helps create these magical, authentic moments between host/visitor that doesn't necessarily exist today in more corporate hotel settings.  In addition to travelling, I love yoga, reading, piano, writing, and photography.  I am respectful of AirBnb host's rules and cultural values, and strive to be a perfect house guest.    Though I mostly try to travel on a budget, and spend money on activities instead of lodging, I still am a creature of comfort!  Though I have slept on couches (and even the floor!) there is nothing better than sinking into a comfy bed after a long day of exploring a new city or country.    5 things I couldn't live without: 1)  A book (Because I get stuck on trains and in train stations in France at least onc a month, I ALWAYS have a good book with me!)  2)  Music  3)  My network of friends and family  4)  My sense of adventure and zest for life  5)  My darling partner (and fellow travel companion!)","Hi there!  I am a young professional working in the legal non-profit industry.  I am originally from Washington D.C. but for the last 5 years, I have been living in Paris, France.  I love travelling to new places and discovering new cultures.  One of my favorite trips was to Iceland, where we stayed with a local couple through AirBnb and shared a breakfast with them in the morning consisting of local Icelandic products.  They even washed our (wet and smelly) clothes!  I really enjoy how AirBnb helps create these magical, authentic moments between host/visitor that doesn't necessarily exist today in more corporate hotel settings.  In addition to travelling, I love yoga, reading, piano, writing, and photography.  I am respectful of AirBnb host's rules and cultural values, and strive to be a perfect house guest.    Though I mostly try to travel on a budget, and spend money on activities instead of lodging, I still am a creature of comfort!  Though I have slept on couches (and even the floor!) there is nothing better than sinking into a comfy bed after a long day of exploring a new city or country.    5 things I couldn't live without: 1)  A book (Because I get stuck on trains and in train stations in France at least onc a month, I ALWAYS have a good book with me!)  2)  Music  3)  My network of friends and family  4)  My sense of adventure and zest for life  5)  My darling partner (and fellow travel companion!)",6,5.5,6,6,6,6,6,6
2,No,1,I'm not sure whether it was actually a real thing--the feedback. Surveys tend to have imaginary feedback.,"I live in a 5-bedroom house with my fiance--we have two free rooms, with one doubling as a music studio/library. I have a Master's degree in plant biology and spend most of my time either outside in the woods (hiking, taking notes, running, etc.) or inside, writing, working, or reading.   I'm really into interior decorating (sort of) and have a bit of a modern-feeling to the house. We watch TV rarely, but there's a few shows we're into (Mr. Rogers neighborhood, believe it or not, Cosmos, documentaries, etc.). No real motto for life, but I'd like to think we're relatively exciting enough to not really need one.","I live in a 5-bedroom house with my fiance--we have two free rooms, with one doubling as a music studio/library. I have a Master's degree in plant biology and spend most of my time either outside in the woods (hiking, taking notes, running, etc.) or inside, writing, working, or reading.   I'm really into interior decorating (sort of) and have a bit of a modern-feeling to the house. We watch TV rarely, but there's a few shows we're into (Mr. Rogers neighborhood, believe it or not, Cosmos, documentaries, etc.). No real motto for life, but I'd like to think we're relatively exciting enough to not really need one.",5.5,4.5,4.5,5.5,5.5,4.5,4.5,5.5
2,No,1,"The feedback seemed to pertain to my writing, and I realized a simpler bio would attract a wider audience.","I am a generous, friendly person who likes to host the occasional party.  I go camping often just to get away from the city for a few days, although I don't think I could completely go without my computer and the Internet.  I like to visit the popular spots in smaller towns instead of the big destinations because it feels like a 'road less traveled upon' sort of place where you can see some nice rarities.  I mainly like comedy music, but I would listen to pretty much anything others would want to play as I am open-minded to other lifestyles.  My house is rather accomodating for AirBNB hosting, as it's rather large with a couple of extra rooms I don't currently use and there are several nearby stores and restaurants if you do not feel up to dining with me.  I have no children or pets, so you do not have to worry about damage to any of your belongings, and the doors to the extra rooms even have locks installed so you can have all the privacy you want. ","I am a generous, friendly person who likes to host the occasional party.  I go camping often just to get away from the city for a few days, although I don't think I could completely go without my computer.  I like to visit the popular spots in smaller towns instead of the big destinations because it feels like a 'road less traveled upon' sort of place where you can see some nice rarities.  I mainly like comedy music, but I would listen to pretty much anything others would want to play as I am open-minded.  My house is rather accomodating for AirBNB hosting, as it's rather large with a couple of extra rooms I don't currently use and there are several nearby stores and restaurants if you do not feel like dining with me.  I have no children or pets, so you do not have to worry about damage to any of your belongings, and the doors to the extra rooms even have locks installed so you can have all the privacy you want.",6,7,6,6,6,7,6,6
3,No,2,It helped guide me in what i needed to type out.,I am a 30 year old professional who works in the area. I have no pets and children. I have lived here over 10 years and enjoy checking out the latest concert or restaurant.,I am a 30 year old professional who works in the area. I have no pets and children. I have lived here over 10 years and enjoy checking out the latest concert or restaurant. The town has a lot of museums within walking distance. I am an avid cook and feel free to use all of the ammenities in the condo. There is public transportation nearby to help you get around without spending a lot of money. ,5,2.5,4,4,5,5,5.5,5.5
1,No,6,The feedback was somewhat generic.,"Relax and unwind at our beautiful lakeside residence. 3bed + 3bathrooms located on Muir lake. Amenities include sun room, patio, fireplace, washer/dryer. Newly remodeled kitchen with coffee maker, double ovens, toaster, and gas stove. Close to downtown and many lakeside activity walking distance.","Relax and unwind at our beautiful lakeside residence. 3bed + 3bathrooms located on Muir lake. Amenities include sun room, patio, fireplace, washer/dryer. Newly remodeled kitchen with coffee maker, double ovens, toaster, and gas stove. Close to downtown and many lakeside activity walking distance. Great for large groups or couples looking for a relaxing weekend.",5,3,3.5,4.5,4.5,3.5,4,4.5
3,No,1,i never used so i really dont know,"Im a 38 years old helicopter pilot, Im married for the past 17 years and currently we live in Austin Texas""","Im a 38 years old helicopter pilot, Im married for the past 17 years and currently we live in Austin Texas. Austin is consider one of the best places to live in the USA, with a great night life, no wonder Austin is the capital of live music. With a big high tech industry, Austin hosts a lot of important conferences and festivals, the most important is the South by South West.",2,2,2,2,4,3,3,3
4,No,1,It did not appear that I had feedback specific to certain sections,"We live in a quiet neighborhood. There is a nice lake a few blocks away to hang out at. We enjoy cruising when we are not working. Generally, we prefer to use hotels when we travel. We have tried to provide all the amenities one would expect when staying in a hotel while shooting for a more homey feel. We will not be on the property during your stay. However, we are mearly a call or text away if there is anything you should need. We hope you choose us for your vacationing needs. Please feel free to reach out to us with any questions or concerns you may have","We live in a quiet neighborhood. There is a nice lake a few blocks away to hang out at. We enjoy cruising when we are not working. Generally, we prefer to use hotels when we travel. We have tried to provide all the amenities one would expect when staying in a hotel while shooting for a more homey feel. We will not be on the property during your stay. However, we are mearly a call or text away if there is anything you should need. We hope you choose us for your vacationing needs. Please feel free to reach out to us with any questions or concerns you may have.",5,5.5,5,5,5,5.5,5,5
2,No,2,"To be honest, I think when you are selling a room in your house, you are also selling yourself.  Trying to get you to limit it just seems unwise.","So, I'm a huge huge fan of reading.  I felt that was important to note, I'm not even sure why.  I keep my house profoundly clean, you'll have nothing but quiet relaxation over here - I promise you that.  I am also a chef for a living, I love to cook, and I especially love to cook for new people.  A very high quality meal is of course, included with your stay, if there is anything in particular you want me to cook, let me know, and I'll make it happen!  I'm a firm believer in great service.  I will go out of my way for you, you only need to let me know if something is bothering you, or there is something you need for your room.  I change the linens every day, the room is dusted daily, and there are candles and the like for your pleasure.  I also keep a sirius radio in the room, that you are of course, welcome to use.","So, I'm a huge huge fan of reading.  I felt that was important to note.  I am a big conversationalist, but I can also read a room.  If you are someone who loves talking, I aim to be well read, and will happily converse about anything you would like to.  If you are someone who is more quiet, just say so, and I'll leave you be.  I keep my house profoundly clean, you'll have nothing but quiet relaxation over here - I promise you that.  You will never see a speck of dirt on anything.  I am also a chef for a living, I love to cook, and I especially love to cook for new people.  A very high quality meal is of course, included with your stay, if there is anything in particular you want me to cook, let me know, and I'll make it happen!  I'm a firm believer in great service.  I will go out of my way for you, you only need to let me know if something is bothering you, or there is something you need for your room.  I change the linens every day, the room is dusted daily, and there are candles and the like for your pleasure.  I also keep a sirius radio in the room, that you are of course, welcome to use.",4.5,5.5,5,5,6,6,5,5.5
1,No,1,I was told I did well on the writing task but was never given any metrics to measure my efforts.,"Welcome. I'm a 40-ish man with years of hospitality experience and I've decided to cut out the middleman and pass the savings on to you! Stay with me and I'll create a friendly, relaxing, and fun experience for your stay. I look forward to seeing you!","Welcome. I'm a 40-ish man with years of hospitality experience and I've decided to cut out the middleman and pass the savings on to you! Stay with me and I'll create a friendly, relaxing, and fun experience for your stay. I look forward to seeing you!",3.5,3.5,4,4,4,4,4,4
3,Yes,4,i don't believe that it was genuine. i think it was automated,"Hi there, My name is Ryan and I'm a project manager and tennis coach. I have a nice pad which I can rent out and it has many amenities. I'm always sure to leave housing supplies and such readily available. I'm also easy to contact if you ever need anything. I love sports, music, movies, animals, and exercise. My favorite show is Breaking Bad and I love a good Italian dinner.","Hi there, My name is Ryan and I'm a project manager and tennis coach. I have a nice pad which I can rent out and it has many amenities. I'm always sure to leave housing supplies and such readily available. I'm also easy to contact if you ever need anything. I love sports, music, movies, animals, and exercise. My favorite show is Breaking Bad and I love a good Italian dinner.",5.5,6,6,5,5.5,6,6,5
3,No,6,Helpful and intuitive to me.,"35 year old college grauate working in a home based business designing haunted house props and animatronics.  Quiet, well-kept gentleman with some strange tastes.","35 year old college grauate working in a home based business designing haunted house props and animatronics.  Quiet, well-kept gentleman with some strange tastes. Enjoys quiet time sculpting and airbrush painting in the attached garage to the huse. Dog keeper with 3 quiet dogs in the house as well.",4,2.5,3,3,4.5,4,4.5,4.5
3,No,3,I didn't see any specific segement level feedback. The dcoument level feedback seemed like it was only looking for a keyword.,"My name is David. I'm originally from New York City but I've been living here in Arlington, VA for nearly 10 years now! Arlington is a really nice city that's located right outside of Washington, DC. There's very easy access to the metro system which can take you into DC very quickly. It's also walkable to Arlington National Cemetary as well as Iow Jima.  I currently work for the Superior Court of DC as a deputy clerk. That basically means I get to file lots of paperwork! I'm not an attorney or anything like that although I am interested in law. But I haven't studied it at all.  I love traveling myself and very frequently take weekend trips to new and interesting cities. I plan things way in advance so I do always know exactly what I'm doing.","My name is David. I'm originally from New York City but I've been living here in Arlington, VA for nearly 10 years now! Arlington is a really nice city that's located right outside of Washington, DC. There's very easy access to the metro system which can take you into DC very quickly. It's also walkable to Arlington National Cemetary as well as Iow Jima.  I currently work for the Superior Court of DC as a deputy clerk. That basically means I get to file lots of paperwork! I'm not an attorney or anything like that although I am interested in law. But I haven't studied it at all.  I love traveling myself and very frequently take weekend trips to new and interesting cities. I plan things way in advance so I do always know exactly what I'm doing.  I would greatly enjoy meeting you and finding out more about you and what you're interested in. I would be happy to help you plan your trip to DC.",4,5,5,5,4,5,5,5
2,No,4,"It was general feedback, so I added a bit.","Hi, I'm a quiet, chill host. I am family oriented, friendly, and approachable. Let me know if you have any questions! I love pets, especially dogs. I would love to help you get to know the city.","Hi, I'm a quiet, chill host. I am family oriented, friendly, and approachable. Let me know if you have any questions! I love pets, especially dogs. I would love to help you get to know the city.",3.5,4.5,5,4.5,3.5,4.5,5,4.5
4,No,1,"The feedback was interesting, but if I revised, I was certain it would just find another problem.","I am a 31-year-old recently married man.  I am flexible and friendly, but I love efficiency.  This efficiency means that things are quick, easy, and inexpensive for you and for me.  With that being said, I do have high standards in how I like to treat others and I will do whatever it takes to make sure your stay is happy.  I personally can't live without a comfortable place to live, good food, good friends, staying connected with family, and without conveniences of technology.    I love a quiet environment, but I also enjoy having some rock, alternative, or pop music on at times.    I am new as a host, but I will do everything it takes to make you happy and make you want to come back!","I am a 31-year-old recently married man.  I am flexible and friendly, but I love efficiency.  This efficiency means that things are quick, easy, and inexpensive for you and for me.  With that being said, I do have high standards in how I like to treat others and I will do whatever it takes to make sure your stay is happy.  I personally can't live without a comfortable place to live, good food, good friends, staying connected with family, and without conveniences of technology.    I love a quiet environment, but I also enjoy having some rock, alternative, or pop music on at times.    I am new as a host, but I will do everything it takes to make you happy and make you want to come back!",4.666667,5,5.666667,5.333333,4.666667,5,5.666667,5.333333
1,No,2,"I tried to change my language a bit to use language that would be appropriate when reading my bio. As a potential guest, I can see how that would be more inviting language.","I am a working professional in Salt Lake City, Utah. I enjoy outdoor adventures and would love to take visitors hiking, skiing, climbing, etc. I have lived here for eight years, and I would love to give people tips on local spots for food, sightseeing, drinks, and music. My travel style is pretty relaxed. I like to make few structured plans and explore. Staying at my house will be similar. Make yourself at home by enjoying the sights of my neighborhood and sampling local cuisine a few minutes away. I enjoy reading, skiing, cooking, and playing scrabble. All things you are welcome to enjoy (or not) when staying as my guest. Help youself to any tea on my shelf and read a good book on my porch if you choose. Happy Travels!","I work as a researcher in Salt Lake City, Utah. I enjoy outdoor adventures and would love to take visitors hiking, skiing, climbing, etc. I have lived here for eight years, and I would love to give people tips on local spots for food, sightseeing, drinks, and music. My travel style is pretty relaxed. I like to make few structured plans and explore. Staying at my house will be similar. You can make yourself at home by enjoying the sights of my neighborhood and sampling local cuisine a few minutes away. I enjoy reading, skiing, cooking, and playing scrabble. All things you are welcome to enjoy (or not) when staying as my guest. When you stay with me, help youself to any tea on my shelf and read a good book on my porch if you choose.",5,4,6,5,5,4,6,5
3,No,1,I did not receive any helpful feedback,"Hey everyone, Kate here! I'm a 65 years young retired teacher who loves pets (yes, this house is pet friendly!) and baking. Be prepared to sample my freshly baked cookies throughout your stay! I love talking about differnt cultures and places, so if you're keen on discussing anything let me know. However, I also value privacy (both yours and mine) so feel free to keep to yourself. I'd be more than happy to show you around my quaint town or tell you where the best cafes and parks are, or even what areas to avoid. I hope you enjoy your stay with me, because I know I will. ","Hey everyone, Kate here! I'm a 65 years young retired teacher who loves pets (yes, this house is pet friendly!) and baking. Be prepared to sample my freshly baked cookies throughout your stay! I love talking about differnt cultures and places, so if you're keen on discussing anything let me know. However, I also value privacy (both yours and mine) so feel free to keep to yourself. I dislike too much noise, so please keep the music and parties to a minimum, especially at night (I'm an early sleeper and early riser). I'd be more than happy to show you around my quaint town or tell you where the best cafes and parks are, or even what areas to avoid. I hope you enjoy your stay with me, because I know I will",6,6.5,6.5,6,6.5,5.5,7,6
2,No,4,I don't see how changing to passive language would help my bio,"I am a young professional living in Philadelphia who enjoys everything the city has to offer.I love experiencing the nightlife, food, and culture of my hometown, and I don't think I could live anywhere else.  5 Things About Me: -I love my dog and plan on getting about 100 more - Macaroni and cheese is my favorite food and I could eat it every day - I've never seen the movie Rocky - I love to dance and take classes 3 times a week - My favorite show of all time is The Simpsons  If you were to stay at my place, you'd have access to all the hotspots in Philly while still being in a place that feels like home. The nieghbors are wonderful, and they'll always help you with anything you need. We're a close community, and we're always willing to help others. You will truly get to experience the \""""Brotherly Love\"""" that Philadelphia has to offer.  As an added bonus, you'd be only 5 minutes drive time away from 2 of Philly's top cheesesteak places, how could you resist? And don't worry, you're also 5 minutes away from the beautiful trails we have so you can walk off that cheesesteak.","I am a young professional living in Philadelphia who enjoys everything the city has to offer.I love experiencing the nightlife, food, and culture of my hometown, and I don't think I could live anywhere else.  5 Things About Me: -I love my dog and plan on getting about 100 more - Macaroni and cheese is my favorite food and I could eat it every day - I've never seen the movie Rocky - I love to dance and take classes 3 times a week - My favorite show of all time is The Simpsons  If you were to stay at my place, you'd have access to all the hotspots in Philly while still being in a place that feels like home. The nieghbors are wonderful, and they'll always help you with anything you need. We're a close community, and we're always willing to help others. You will truly get to experience the \""""Brotherly Love\"""" that Philadelphia has to offer.  As an added bonus, you'd be only 5 minutes drive time away from 2 of Philly's top cheesesteak places, how could you resist? And don't worry, you're also 5 minutes away from the beautiful trails we have so you can walk off that cheesesteak.",6.5,7,7,6.5,6.5,7,7,6.5
2,No,1,I was not given any feedback on my writing.,"I am a 40 year old guy with a passion for auto sports.  I love all kinds of racing.  I also love computers and fishing.  i am easy going and keep my space relatively clean and organized.  I enjoy mexican food, traveling and music.","I am a 40 year old guy with a passion for auto sports.  I love all kinds of racing.  I also love computers and fishing.  i am easy going and keep my space relatively clean and organized.  I enjoy mexican food, traveling and music",3.5,2.5,3.5,2.5,3.5,2.5,3.5,3
1,No,1,"It said I did a good job, that was useful because I wasn't sure that I had done it correctly. ","Life is about having fun and enjoying your time whiel you have it. I LOVE living near the beach, fishing, swimming, and runs on the beach are just a few of the things that inhance my life. Located only 15 miles from the inlet my home is great place to have the fun of the city and the serenity of the countryside. You don't even have to leave the property to hit the water; a private hottub is onsite along with an outdoor shower. All ammenities are top of the line, you can relax and eat take out on the screen in porch or whip a meal in my chef inspried kitchen. Wind down after a fun filled day in the jetted whirlpool bath or enjoy a movie from our extensive collection.","Life is about having fun and enjoying your time whiel you have it. I LOVE living near the beach, fishing, swimming, and runs on the beach are just a few of the things that inhance my life. Located only 15 miles from the inlet my home is great place to have the fun of the city and the serenity of the countryside. You don't even have to leave the property to hit the water; a private hottub is onsite along with an outdoor shower. All ammenities are top of the line, you can relax and eat take out on the screen in porch or whip a meal in my chef inspried kitchen. Wind down after a fun filled day in the jetted whirlpool bath or enjoy a movie from our extensive collection.",4,4,4,4,4,4,4,4
2,No,2,I didn't really understand how it related to the actual highlighted area at times. It just seemed random.,"I am a young mental health professional in the eastern Washington area. When I am not working as an academic coach for college students with mental illness, I enjoy spending time with friends and getting outdoors. There are so many ways to connect to nature in my area, and some of my favorite are hiking Iller Creek or camping at Farragut State Park in the Idaho panhandle. This upcoming October, my boyfriend and I will be moving to Ho Chi Minh City, Vietnam, to teach English. I spent a semester in college living in Northern Ireland and it awakened more than just a vacation bug in me - I am very interested in long-term travel and living in a foreign country. I am a very hands-off host if that is what you prefer, but as an extrovert I am also happy to be a tour guide when I have the spare time. The Iller Creek trail is only about a ten minute drive from my listing, and is a little known local favorite.","I am a young mental health professional in the eastern Washington area. When I am not working as an academic coach for college students with mental illness, I enjoy spending time with friends and getting outdoors. There are so many ways to connect to nature in my area, and some of my favorite are hiking Iller Creek or camping at Farragut State Park in the Idaho panhandle. This upcoming October, my boyfriend and I will be moving to Ho Chi Minh City, Vietnam, to teach English. I spent a semester in college living in Northern Ireland and it awakened more than just a vacation bug in me - I am very interested in long-term travel and living in a foreign country. I am a very hands-off host if that is what you prefer, but as an extrovert I am also happy to be a tour guide when I have the spare time.",3.5,5.5,5.5,4.5,3.5,5.5,5.5,4.5
2,No,1,Said my description was fine,"Welcome to silicone valley, home of my airbnb. I'm a tech worker looking to show off the bay area and what better place to start than the great tech sector. If technology is not of interest then our rail systems can you take you SF or San Jose and even to the Berkeley area. I travel to convetions every so often and there is no better way to go than with airbnb.","Welcome to silicone valley, home of my airbnb. I'm a tech worker looking to show off the bay area and what better place to start than the great tech sector. If technology is not of interest then our rail systems can you take you SF or San Jose and even to the Berkeley area. I travel to convetions every so often and there is no better way to go than with airbnb.",4.5,5,5,4.5,4.5,5,5,4.5
2,Yes,5,It said to be more social and inclusive which was useful and makes sense in the context of AirBnB,I am a 28/f editor who works from home. I've been living in New York for five years and rent my apartment occasionally. I'm happy to help you get around the city or plan your visit.,I am a 28/f editor who works from home. I've been living in New York for five years and rent my apartment occasionally. I love the neighborhood and am happy to show you around during your stay if you'd like.,3.5,4.5,4.5,4,3.5,5,4.5,4.5
2,No,3,I wish it could give more in depth analysis showing me examples to help fix my bio in more detail.,"I'm a laid back programmer, from a small town in New Jersey.  I grew up in Pennsylvania and like the less busy life of the country.  I really enjoy the local food, we have some great pizza places here.  But from time to time I enjoy visiting friends in the city when I need some excitement.  I'm a fan of any type of gaming, and in my spare time enjoy making my own games for computer.  I really enjoy learning new things and enjoy watching documentaries on TV.  But every once in a while I enjoy turning my brain off for a good popcorn flic.  I really enjoy hosting people and treat all as family.","I'm a laid back guy who is working in the computer field.  I live in a a small town in New Jersey.  I grew up in small Pennsylvania town in the country.  I really enjoyed breathing in the air, playing in the woods and spending an evening under the moon and quiet.  I enjoy our local food joints.  We have some awesome pizza where I live.  But from time to time I enjoy visiting friends in the city when I need some excitement.  I spend my free time playing games of all types.  In my spare time I enjoy making my own games and hope to publsih some soon on Steam.  I really enjoy learning new things and enjoy watching documentaries on TV.  But every once in a while I enjoy a good popcorn flic.  I really enjoy hosting people and treat all as family.",2.5,3.5,4,3.5,4.5,3.5,4.5,4
2,No,1,Wasn't helpful with giving me a reason why.,"Hi my name is Dani and I like cats, games and sweets. I can't live without good internet, computer, coffee, showers and my jeans. I love to travel to Seattle, watch action movies, listen to trance music and eat pizza. I am a easy going and understanding host. My style of traveling is packing a backpack and heading out on the road to find adventure. I love Airbnb hosts that understand flexibility and personal desires. I believe in making friendships and exploring new places.","Hi my name is Dani, I like cats, games and sweets. I can't live without internet, computer, coffee, showers and my jeans. I love to travel, watch action movies, listen to trance music and eat pizza. I am a easy going and understanding host. My style of traveling is packing a backpack and heading out on the road to find adventure. I love Airbnb hosts that understand flexibility and personal desires. I believe in making friendships and exploring new places.",4,3.5,4,4,4,3.5,4,4
3,No,3,I felt like the segment-level feedback was very informative compared to the document-level feedback. I thought it was very easy to read.,"I'm very loving with animals, and enjoy video games. I have a couple dogs that are both very loving. I'm also an avid fan of hiking and outdoor activites, as well as kayaking and skiing. I'm an avid traveler, love traveling to the mountains and exploring areas I haven't been. I also have plenty of books that I've read, a lot of them are sci-fi and non-fiction. I'm a very laidback host. I travel every couple weeks for work, typically to the Northeast or the midwest, but typically for a week at a time.  I really enjoy being a laidback host, but not laidback enough to be taken advantage of. I'm very willing to be flexible as well with accomodations. If there's anything I can do to help, please let me know.","I'm very loving with animals, and enjoy video games. I have a couple dogs that are both very loving. I'm also an avid fan of hiking and outdoor activites, as well as kayaking and skiing. I'm an avid traveler, love traveling to the mountains and exploring areas I haven't been. I also have plenty of books that I've read, a lot of them are sci-fi and non-fiction. There's also a lot of space and sci-fi art around the house. I'm a very laidback host. I travel every couple weeks for work, typically to the Northeast or the midwest, but typically for a week at a time.  Every now and then, I'll take my friends out on the town to restaurants that I enjoy. Some of the local restaurants that I enjoy are Korean, Mexican food, and of course, the typical Cheeseburger joint. Furthermore, I really enjoying cooking for my guests. I have a wide arrange of cooking abilities, so if you have a preference as far as food, I'd be more than happy to accomodate.  I really enjoy being a laidback host, but not laidback enough to be taken advantage of. I'm very willing to be flexible as well with accomodations. If there's anything I can do to help, please let me know.",3.5,4.5,5,4.5,3.5,5.5,5.5,5
1,No,1,I didn't get any segment feedback. The document feedback was a little vague. It just said to use passive instead of active language. ,I'm a restaurant owner who loves to travel and meet new people and swap stories especially with fellow travelers. Of course as a resaurant owner I love good food and a good time. I can't travel as much as I'd like so hosting other travelers is the next best thing. I live out in a semi-rural area but am only about 5 minutes from the city which gives me access to all the area has to offer. I enjoy kayaking and hiking as much as having a night out in the city so its the best of both worlds and if you wish I'd be happy to show you the sites.,I'm a restaurant owner who loves to travel and meet new people and swap stories especially with fellow travelers. Of course as a resaurant owner I love good food and a good time and kept a well stocked pantry. I can't travel as much as I'd like so hosting other travelers is the next best thing. I live out in a semi-rural area but am only about 5 minutes from the city which gives me access to all the area has to offer. I enjoy kayaking and hiking as much as having a night out in the city so its the best of both worlds and if you wish I'd be happy to show you the sites but you are just as welcome to go your own way.,6,6,6,5.5,6,6.5,6.5,6
