Condition,"Before today, have you ever written an online product review?",What laptop model/type did you write your review about? (Please be as specific as possible),How often do you read user reviews when shopping online?,Qualitative,Pre-Feedback,Post-Feedback,Pre-Feedback Review Informativeness,Pre-Feedback Review Subjectivity,Pre-Feedback Review Writing Clarity,Pre-Feedback Overall Quality (Holistic),Post-Feedback Review Informativeness,Post-Feedback Review Subjectivity,Post-Feedback Review Writing Clarity,Post-Feedback Review Overall Quality (Holistic)
4,No,Lenovo ThinkPad T420,7,The only feedback I received was that I wrote a good and helpful review. That was good enough for me to know.,"I recently purchased a Lenovo ThinkPad T420 to have as a backup to my desktop computer and also to use around the house without being tied to my computer chair. It is a convenient way to stay productive. I have always loved the ThinkPad products and felt I would like to own one and I am glad I made the purchase. \tThe laptop is built very well. These laptops are made for business and designed to withstand daily transporting and wear and tear. It is very durable and although I don't have a direct need for the ruggedness, it is good to know my laptop won't break if I drop it or knock something over onto it. The finish and feel of the laptop is very smooth and you can tell it is built well. I have owned this laptop for about 10 months and it has shown little to no wear. I can see this laptop lasting me a few years easily.     The features and specifications of the laptop are more than acceptable. I got this as an older model and there were several newer models available. The main reason for this was the price. I just wanted a decent Intel i5 machine with at least 4GB of RAM. I didn't want anything big and bulky that I couldn't carry with me and the 14\"" screen helps acheive this. Overall, the speed and processing power of this laptop has met my expectations remarkably. I have never had issues with applications freezing or lagging and have pretty much pushed this machine to its limits.      The laptop also has several nice additional features. It has a built-in microphone and camera, which most, if not all, laptops have these days. It also has great security features. The laptop has a fingerprint scanner so if you had confidential files on your computer or didn't want anyone to access it for any reason then you would be in luck. I personally have never used this feature but it's nice to know I have that option.     The chiclet-style keyboard is a pleasure to type on and I rarely find myself missing keystrokes. The keys are very wide and the keyboard isn't crammed together like you might find on many different laptops. It has two ways to use a mouse-pointer. You can use the built-in touchpad, which is what I use or you can use the traditional trackpoint that you have seen on IBM and Lenovo ThinkPad products for many years. I think it's cool to have an option to use either one and I feel the trackpoint just solidifies the ThinkPad product and gives it its own unique look.     Additionally, I find the battery life to be very positive. It will typically last me a whole day and then need a recharge at night. For me, this is more than satisfactory. The screen delivers a crisp, sharp image and I never find myself squinting to read anything.     All-in-all, I am very satisfied with my purchase. I would purchase a ThinkPad again in a heartbeat. This has been the best laptop I have ever owned and at the price I got it for is quite frankly a steal. ","I recently purchased a Lenovo ThinkPad T420 to have as a backup to my desktop computer and also to use around the house without being tied to my computer chair. It is a convenient way to stay productive. I have always loved the ThinkPad products and felt I would like to own one and I am glad I made the purchase. \tThe laptop is built very well. These laptops are made for business and designed to withstand daily transporting and wear and tear. It is very durable and although I don't have a direct need for the ruggedness, it is good to know my laptop won't break if I drop it or knock something over onto it. The finish and feel of the laptop is very smooth and you can tell it is built well. I have owned this laptop for about 10 months and it has shown little to no wear. I can see this laptop lasting me a few years easily.     The features and specifications of the laptop are more than acceptable. I got this as an older model and there were several newer models available. The main reason for this was the price. I just wanted a decent Intel i5 machine with at least 4GB of RAM. I didn't want anything big and bulky that I couldn't carry with me and the 14\"" screen helps acheive this. Overall, the speed and processing power of this laptop has met my expectations remarkably. I have never had issues with applications freezing or lagging and have pretty much pushed this machine to its limits.      The laptop also has several nice additional features. It has a built-in microphone and camera, which most, if not all, laptops have these days. It also has great security features. The laptop has a fingerprint scanner so if you had confidential files on your computer or didn't want anyone to access it for any reason then you would be in luck. I personally have never used this feature but it's nice to know I have that option.     The chiclet-style keyboard is a pleasure to type on and I rarely find myself missing keystrokes. The keys are very wide and the keyboard isn't crammed together like you might find on many different laptops. It has two ways to use a mouse-pointer. You can use the built-in touchpad, which is what I use or you can use the traditional trackpoint that you have seen on IBM and Lenovo ThinkPad products for many years. I think it's cool to have an option to use either one and I feel the trackpoint just solidifies the ThinkPad product and gives it its own unique look.     Additionally, I find the battery life to be very positive. It will typically last me a whole day and then need a recharge at night. For me, this is more than satisfactory. The screen delivers a crisp, sharp image and I never find myself squinting to read anything.     All-in-all, I am very satisfied with my purchase. I would purchase a ThinkPad again in a heartbeat. This has been the best laptop I have ever owned and at the price I got it for is quite frankly a steal. ",6,4.5,5,5,6,4.5,5,5
2,Yes,MSI A6000,7,"No feedback give, just said ""good job""","This MSI laptop has been mostly good for the price paid.  It made it 5 years before I had a problem with it, which is about average. It is fast enough to do anything that would be considered normal usage, such as cheking email, browsing the web, using spreadsheet and office applications, etc.  The keyboard has as nuberpad which is nice, but is not extremely durable.  The screen is 17 inches and the picture is good.  The touchpad is not the greatest, but is functional. Overall this laptop was a good investment.","This MSI laptop has been mostly good for the price paid.  It made it 5 years before I had a problem with it, which is about average. It is fast enough to do anything that would be considered normal usage, such as cheking email, browsing the web, using spreadsheet and office applications, etc.  The keyboard has as nuberpad which is nice, but is not extremely durable.  The screen is 17 inches and the picture is good.  The touchpad is not the greatest, but is functional. Overall this laptop was a good investment.",3.5,4,4.5,4,3.5,4,4.5,3.5
2,No,HP Spectre x 360,7,"All I really got was a ""Good job; your review was helpful""","When I last bought a laptop, I knew I wanted a convertible laptop because I wanted a laptop and a tablet, but I didn't want to buy two items. I considered the HP Spectre, Lenovo Thinkpad and the Microsoft Surface 3. I choose the HP Spectre with the i7 processor, and I absolutely love it.   Pros: - The brushed aluminum is absolutely gorgeous - Long battery life - Price is reasonable: Microsoft Surface 3 with the i7 processor was about $200 more (the Surface 4 was not released at the time) - I've had it over a year, and I've had no issues with it, no blue screens, nothing. It runs insanely smoothly.    Cons: - Occsaionally gets too hot - Since it's a touchscreen, the screen gets messy quickly and you can usually see fingerprints when the screen is dark - It's too heavy to use as a traditional tablet when laying down and trying to hold it up. It's fine if you lay it on your lap or on the bed. - The fan is can get loud (Really, this is rare. The Lenovo Thinkpad is much louder.)  Overall, I completely recommend this laptop. It's powerful; it's gorgeous; it's the best in it's class.","When I last bought a laptop, I knew I wanted a convertible laptop because I wanted a laptop and a tablet, but I didn't want to buy two items. I considered the HP Spectre, Lenovo Thinkpad and the Microsoft Surface 3. I choose the HP Spectre with the i7 processor, and I absolutely love it.   Pros: - The brushed aluminum is absolutely gorgeous - Long battery life - Price is reasonable: Microsoft Surface 3 with the i7 processor was about $200 more (the Surface 4 was not released at the time) - I've had it over a year, and I've had no issues with it, no blue screens, nothing. It runs insanely smoothly.    Cons: - Occsaionally gets too hot - Since it's a touchscreen, the screen gets messy quickly and you can usually see fingerprints when the screen is dark - It's too heavy to use as a traditional tablet when laying down and trying to hold it up. It's fine if you lay it on your lap or on the bed. - The fan is can get loud (Really, this is rare. The Lenovo Thinkpad is much louder.)  Overall, I completely recommend this laptop. It's powerful; it's gorgeous; it's the best in it's class.",4,5,5,5,4,5,5,5
4,Yes,HP Pavilion 17-f010us Notebook PC,6,"The feedback indicated that my review was unbalanced, but I made sure to address both the pros and cons in different paragraphs. The paragraphs highlighted in red included the pros; none of the paragraphs detailing cons were highlighted.","I was gifted a new HP Pavilion after my older and smaller HP Pavilion starting showing me the blue screen of death every few days. The official name of my new laptop is HP Pavilion 17-f010us Notebook PC, which can be misleading since it\u2019s a laptop and not a notebook.  Overall, I\u2019m pleased with it. The screen size is great, especially for using applications like Microsoft Project where I can use both the working space and the margins. The included Beats Audio is crisp and delivers great quality through the laptop\u2019s speakers, external speakers, or headphones.  My only complaint is that the installed RAM doesn\u2019t support having too many windows open or programs running. After a few months of the screen freezing up in the middle of a task, I upgraded from 4GB to 8GB of RAM. The additional memory costs about $20, and took 20 minutes to install \u2013 most of which was spent unscrewing what felt like hundreds of screws. It was worth it though, since the system no longer freezes up.  I wouldn't recommend this for gamers or video editors that need processing speed. However, this is a good laptop for a relatively small investment, and if you upgrade the memory you\u2019ll have a great basic machine on your hands.","I have an HP Pavilion 17-f010us Notebook PC, which can be misleading since it\u2019s a laptop and not a notebook. Overall, I\u2019m pleased with it. It's chrome coloring is quite nice, and resists fingerprints. The screen size is great, especially for using applications like Microsoft Project where I can use both the working space and the margins. The included BeatsAudio is crisp and delivers great quality through the laptop\u2019s speakers, external speakers, or headphones. Movie time with the little ones is also enjoyable thanks to the HD LED display.  My only complaint is that the installed RAM doesn\u2019t support having lots of windows open or programs running. After a few months of the screen freezing up in the middle of a task, I upgraded from 4GB to 8GB of RAM. The additional memory costs about $20, and took 20 minutes to install \u2013 most of which was spent unscrewing what felt like hundreds of screws. It was worth it though, since the system no longer freezes up.  I wouldn't recommend this for gamers or video editors that need more processing speed. However, this is a good laptop for a relatively small investment, and if you upgrade the memory you\u2019ll have a great basic machine on your hands.",4.5,4.5,5,5,4.5,5,6,5
2,No,Dell Inspiron,5,I felt like I gave a good review and didn't need to add/revise what I initially said,I have had a Dell Inspiron laptop for 6 years now and I would highly recommend it to others.  It has held up very well and still runs without a problem.     The only issue I've encountered is the power cord is a little loose and will disconnect when barely touched.  This was not an issue the first few years of having the laptop. Despite this issue I assume this laptop will continue to run for another couple years.  When it does come time to buy another one I will look for another Dell Inspiron.,I have had a Dell Inspiron laptop for 6 years now and I would highly recommend it to others.  It has held up very well and still runs without a problem.     The only issue I've encountered is the power cord is a little loose and will disconnect when barely touched.  This was not an issue the first few years of having the laptop. Despite this issue I assume this laptop will continue to run for another couple years.  When it does come time to buy another one I will look for another Dell Inspiron.,1.5,3,4,2.5,1.5,3,4,2.5
2,Yes,Macbook Air,6,I didn't find the feedback to be very valuable,"I have owned a Macbook Air for a little over two years now. I have never been as pleased as I have been with this laptop. I have have owned so many laptops over the years, and they always needed to be replaced once they hit a couple of years old. My Macbook Air is still like new. I haven't had any issues with it all. It's also such a sleek looking laptop and is extremely light. I'm not sure I will ever go back to a Windows-based machine after owning my Macbook. My only complaint is that I wish the laptop had more RAM. When it was purchased, my husband was under the impression that we could upgrade the RAM at a later date (he is the tech geek and does the research for me!). As it turns out, that isn't the case with the Air. Eventually I will upgrade to a Macbook pro, where I can buy more RAM.","I have owned a Macbook Air for a little over two years now. I have never been as pleased as I have been with this laptop. I have have owned so many laptops over the years, and they always needed to be replaced once they hit a couple of years old. My Macbook Air is still like new. I haven't had any issues with it all. It's also such a sleek looking laptop and is extremely light. I'm not sure I will ever go back to a Windows-based machine after owning my Macbook. My only complaint is that I wish the laptop had more RAM. When it was purchased, my husband was under the impression that we could upgrade the RAM at a later date (he is the tech geek and does the research for me!). As it turns out, that isn't the case with the Air. Eventually I will upgrade to a Macbook pro, where I can buy more RAM.",2,3,3.5,3,2,3,3.5,3
3,Yes,"Sony x930D 55"" 4K Television ",6,After completing my review I was not given any feedback. It simply told me my review was fine as is and capable of submission in that state. ,"Lenovo Thinkpad T530  Rating: 8.5/10  I'd like to start by saying that this laptop is absolutely a great value sporting impressive hardware including a quad core i7 CPU, 16gb RAM and a 15.6in Display all for under $600. I've had it a little under a year now and I can say the pros most definitely outweigh the cons. There are some cumbersome obstacles that are just generally common for laptops but it is more than solid.  *Pros*    -Hardware is impressive. Features all the CPU and RAM power you need to do anything from music production to light video editing. Browsing is also very responsive even on hardware intensive websites.  -Keyboard is quiet and response.   -LED Light for nighttime/dark room view of keyboard! This is one of the more useful aspects honestly. I am proficient in touch typing but I often have to go from Desktop to Laptop to Desktop and back to Laptop again on any given day. Because of that it can be jarring going from one keyboard to another. The LED light has proven very useful.  *Cons*    -Minimal extra video ""boost"". With essentially only integrated graphics and very low powered ones at that. Makes gaming nearly impossible and does not make for a great viewing experience when watching movies.   -Display does not get very bright/washed out on side view. This is somewhat expected as one of the earlier adoptions of LED Display on laptops but it is still a bit of a downer nonetheless.  -Trackpoint Center Button too sensative! With an uber responsive and great feeling trackpad, I just don't see the use for the red trackpoint joystick. It is right smack dab in the middle of the keyboard and ends up being jostled during fast typing creating errors often. I know there are many die-hard Thinkpad people out there who love it but I don't see it's purpose unless you are a huge user of CAD software.    Conclusion:  I love this laptop and it's a great value for anciliary business use as well as casual use. You can't expect it all from a laptop like you could a desktop but it's more than powerful enough for 95% of peoples general use for laptops (including myself) though, the mediocre display quality is a bit of a downer for travel when watching netflix/movies etc.","Lenovo Thinkpad T530  Rating: 8.5/10  I'd like to start by saying that this laptop is absolutely a great value sporting impressive hardware including a quad core i7 CPU, 16gb RAM and a 15.6in Display all for under $600. I've had it a little under a year now and I can say the pros most definitely outweigh the cons. There are some cumbersome obstacles that are just generally common for laptops but it is more than solid.  *Pros*    -Hardware is impressive. Features all the CPU and RAM power you need to do anything from music production to light video editing. Browsing is also very responsive even on hardware intensive websites.  -Keyboard is quiet and response.   -LED Light for nighttime/dark room view of keyboard! This is one of the more useful aspects honestly. I am proficient in touch typing but I often have to go from Desktop to Laptop to Desktop and back to Laptop again on any given day. Because of that it can be jarring going from one keyboard to another. The LED light has proven very useful.  *Cons*    -Minimal extra video ""boost"". With essentially only integrated graphics and very low powered ones at that. Makes gaming nearly impossible and does not make for a great viewing experience when watching movies.   -Display does not get very bright/washed out on side view. This is somewhat expected as one of the earlier adoptions of LED Display on laptops but it is still a bit of a downer nonetheless.  -Trackpoint Center Button too sensative! With an uber responsive and great feeling trackpad, I just don't see the use for the red trackpoint joystick. It is right smack dab in the middle of the keyboard and ends up being jostled during fast typing creating errors often. I know there are many die-hard Thinkpad people out there who love it but I don't see it's purpose unless you are a huge user of CAD software.    Conclusion:  I love this laptop and it's a great value for anciliary business use as well as casual use. You can't expect it all from a laptop like you could a desktop but it's more than powerful enough for 95% of peoples general use for laptops (including myself) though, the mediocre display quality is a bit of a downer for travel when watching netflix/movies etc.",6,7,5.5,6.5,6,7,5.5,6.5
1,Yes,HP Pavilion,6,It gave information about the specs of the machine.,The HP pavilion laptop was bought in 2015 brand new at walmart. It has a decent processor that can easily stream videos and games. It also has built in wifi that grabs a signal from very far away as well. Battery life has depleted very quickly after about a years worth of use. That is the only negative thing I have for this laptop.,The HP pavilion laptop was bought in 2015 brand new at walmart. It has a decent processor that can easily stream videos and games. It also has built in wifi that grabs a signal from very far away as well. Battery life has depleted very quickly after about a years worth of use. That is the only negative thing I have for this laptop.,1.5,4,4.5,3,1.5,4,4.5,3
4,Yes,Macbook Pro 15 inch,6,It helped me work a little to improve my wording and add more details,"I've owned my Macbook pro. for five years. It has served me well so far. The greatest benefit I have received from using and owning this laptop has been no longer needing to install antivirus software on my computer. I don't get pop ups and don't worry about having to install or renew antivirus software. It saves me money and time and gives me peace of mind. The laptop itself has a great keyboard. It is intuitive and comfortable to use. It has ample storage space for all my needs and after 5 years of use I haven't even filled have of my storage on the device. The screen is large at 15 inches and images look crisp and clear. I love watching Netflix movies or youube movies on this screen. Wi-Fi connects seamlesly and without issues. Updating the Os or other software is easy and you can set it to automatically do so. The processor is fast enough for my needs but you can select from different speeds according to your budget. You can also select different screen sizes, RAM etc... according to your budget. The Operating System (OS) is easy to use and to update. Sound quality is great both with the built in speakers or headphones. There are some minor issues however that I think others should consider before purchasing. First of all the Macbook Pro is not cheap. At over $2000 for a decent device, not everyone will be able to afford it, but it is a long term investment that does save you money in the long run if you consider what you save on anti virus software, repair costs and owning the device for several years. The second issue is that replacement parts such as batteries and charges or AC adapters, are not cheap. Apple sells good devices but they are expensive. I would not recommend buying third party replacement parts no matter how cheap they are because they could damage your device. The AC adapter will need to get replaces and others, such as myself may end up replacing it two to three times during their ownership of the Macbook Pro. All this being said, I honestly could not recommend a laptop more than this one. I have loved using it, enjoyed browsing websites on it, loved not worrying about viruses or pop ups or malware, I love the keyboard and sound quality and love how long the device has lated me so far. It was one of the best investments I've made over the years and I know my nest laptop will also be a Macbook Pro.","I've owned my Macbook pro. for five years. It has served me well so far. The greatest benefit I have received from using and owning this laptop has been no longer needing to install antivirus software on my computer. I don't get pop ups and don't worry about having to install or renew antivirus software. It saves me money and time and gives me peace of mind. The laptop itself has a great keyboard. It is intuitive and comfortable to use. It has ample storage space for all my needs and after 5 years of use I haven't even filled have of my storage on the device. The screen is large at 15 inches and images look crisp and clear. I love watching Netflix movies or youube movies on this screen. Wi-Fi connects seamlesly and without issues. Updating the Os or other software is easy and you can set it to automatically do so. The processor is fast enough for my needs but you can select from different speeds according to your budget. You can also select different screen sizes, RAM etc... according to your budget. The Operating System (OS) is easy to use and to update. Sound quality is great both with the built in speakers or headphones. There are some minor issues however that I think others should consider before purchasing. First of all, the Macbook Pro comes in different models that differ in price according to its specs. You can buy a device with a smaller screen, less RAM, a slower processor and this will impact the cost. That being said, no macbook pro, of any model is cheap. I believe the price range is anywhere between $1800 to $2500. However, it is a long term investment that does save you money in the long run if you consider what you save on anti virus software, repair costs and owning the device for several years. The second issue is that replacement parts such as batteries and charges or AC adapters, are not cheap. Apple sells good devices but they are expensive. I would not recommend buying third party replacement parts no matter how cheap they are because they could damage your device. The AC adapter will need to get replaces and others, such as myself may end up replacing it two to three times during their ownership of the Macbook Pro. All this being said, I honestly could not recommend a laptop more than this one. I have loved using it, enjoyed browsing websites on it, loved not worrying about viruses or pop ups or malware, I love the keyboard and sound quality and love how long the device has lated me so far. It was one of the best investments I've made over the years and I know my nest laptop will also be a Macbook Pro.",4,6,5.5,5.5,5,7,5.5,6.5
3,Yes,Mid 2010 Macbook Pro Apple,7,It was nice to know that I received feedback but I didn't even know half the specs meant.,"The laptop that I recently owned is a mid-2010 15"" Apple MacBook Pro. It has been since refurbished twice, all done at the Genius Bars at the Apple Store. It comes with 8 GB of Memory RAM, which makes watching movies a breeze. It also comes with 500 GB of hard drive, which is more than what an average person needs. It comes fully stocked with all the necessary applications, including Microsoft Office series. It's a pretty loaded computer that is sleek, yet strong enough to make movies and watch movies.","The laptop that I recently owned is a mid-2010 15"" Apple MacBook Pro. It has been since refurbished twice, all done at the Genius Bars at the Apple Store. It comes with 8 GB of Memory RAM, which makes watching movies a breeze. It also comes with 500 GB of hard drive, which is more than what an average person needs. It comes fully stocked with all the necessary applications, including Microsoft Office series. It's a pretty loaded computer that is sleek, yet strong enough to make movies and watch movies. As for the laptop aesthetics, it's really nice. It's silver with a black trim. Covers fingerprints really well. For keyboard, it types very well. It is backlit, so you can type under all types of light.  As for performance, it works really fast, especially with the 8GB RAM. No lag, and the images are crystal clear.  The battery is the only downside. I find myself that the battery has a short shelf life and it constantly needs to be replugged. The life cycle of the battery gets consumed easily.
",2.5,3,5,2.5,3.5,4,5,3.5
2,Yes,MSI GE70,7,"The red highlighted text asked for more opinions, but it was full of opinions already.  I added one more to make sure I was doing the task correctly.","MSI's GE70 is still performing well after three and a half years.  About a month after I received this laptop, I had some issues with it and had to send it back, twice, within a 3 month span.  The process was easy and customer service was helpful the whole way through the process.  I was not charged a shipping fee either time I had to send it back.  Since then, I have had no problems with my laptop, unless you consider crashes from Windows 10 a couple of times an issue. In all of my previous laptops, I would notice a definite slowing down of functionality after about 3 years and I would tolerate it for another year before buying a new laptop.  None of my games or internet funtions are any slower now than when I first bought this laptop, however.  The only other possible negatives with this laptop that I can think of is that the battery charger died after two years and the fan is too loud.  Overall, I would purchase this laptop again and plan on sticking with MSI for my next laptop.  The value of their products versus cost greatly outweighs the above issues in my opinion.","MSI's GE70 is still performing well after three and a half years.  About a month after I received this laptop, I had some issues with it and had to send it back, twice, within a 3 month span.  The process was easy and customer service was helpful the whole way through the process.  I was not charged a shipping fee either time I had to send it back.  Since then, I have had no problems with my laptop, unless you consider crashes from Windows 10 a couple of times an issue. In all of my previous laptops, I would notice a definite slowing down of functionality after about 3 years and I would tolerate it for another year before buying a new laptop.  None of my games or internet funtions are any slower now than when I first bought this laptop, however.  The only other possible negatives with this laptop that I can think of is that the battery charger died after two years and the fan is too loud. On the plus side, I was able to easily replace the battery charger for $25 from another company that specializes in chargers and I've never had an issue with overheating. Overall, I would purchase this laptop again and plan on sticking with MSI for my next laptop.  The value of their products versus cost greatly outweighs the above issues in my opinion.",2.5,4,5,3.5,3,4,5,4
4,No,n/a,6,The feedback was accurate and allowed me to write a better review. ,"I own the Asus Zenbook UX305. It has a very small form factor and an extremely long battery life. While not the most powerful laptop, the form factor and battery life more than make up for it. It has a nice screen and is ridciulously light. ","I own the Asus Zenbook UX305. It has a very small form factor and an extremely long battery life. While not the most powerful laptop, the form factor and battery life more than make up for it. This is ony of the most portable laptops I have come across. It has a nice screen and is ridciulously light. The keyboard has a very nice feel to it and helps gives an overall aesthetic design. ",1.5,3.5,5,2.5,2,4,5,3
3,No,Lenovo ideapad 110-151BR,5,It was very generic.,"Laptop: Lenovo Ideapad Specs: Pentium N3710, 4GB Ram, 1TB HDD, DVD-R,Webcam + Microphone, Windows 10 OS. Features: Comes with a fully functional Microsoft office suite, as well as several trial versions of possible upgrades and software to try before you buy. The Laptop runs smoothly on 4 gigs of ram, but chugs when charged with a demanding task. Not for Gaming, but works well for students and casual use. Comes equipped with a DVD-R drive, so you can burn and watch your favorite movies, or make a mixtape for the road. Talk with friends through the internet with use of an integrated webcam.","Laptop: Lenovo Ideapad Specs: Pentium N3710, 4GB Ram, 1TB HDD, DVD-R,Webcam + Microphone, Windows 10 OS. Features: Sleek solid black design leaves room for customization. Comes with a fully functional Microsoft office suite, as well as several trial versions of possible upgrades and software to try before you buy. The Laptop runs smoothly on 4 gigs of ram, but chugs when charged with a demanding task. Not for Gaming, but works well for students and casual use. Comes equipped with a DVD-R drive, so you can burn and watch your favorite movies, or make a mixtape for the road. Talk with friends through the internet with use of an integrated webcam.",4,5,5,4.5,4,5,5,4.5
1,Yes,HP Envy ,7,It was general feedback nothing specific,"While the HP envy with Beats was reviewed to be a good laptop I have a lot of complaints on it. The first of how cheaply it was made. The HP hinges have been fixed twice, the company who we hired to fix it says HP is the biggest issue with this he has. That it is a poor design. Also we paid extra for the Beats Audio however even when it is 100% turned up it is hard to hear for anyone that has tried with my computer. Besides that the camera quality is fair and the light up keyboard is very nice. Not sure I will be purchasing another HP in the future.","While the HP envy with Beats was reviewed to be a good laptop I have a lot of complaints on it. The first of how cheaply it was made. The HP hinges have been fixed twice, the company who we hired to fix it says HP is the biggest issue with this he has. That it is a poor design. Also we paid extra for the Beats Audio however even when it is 100% turned up it is hard to hear for anyone that has tried with my computer. Besides that the camera quality is fair and the light up keyboard is very nice. Not sure I will be purchasing another HP in the future.",2,2.5,4.5,3,2,2.5,4.5,3
2,Yes,"Macbook Pro 13"" (mid-2011)",7,The feedback did not provide me with much specific information from which I could adjust my review,"I recently purchases 13"" Macbook Pro. Unlike most people who opt to purchase the newer models with the Retina Display, I opted to purchase the 2011 design (in 2016!). In part, I made this decision because I purchased essentially the same model of 13"" Macbook Pro in 2010, and it has been wonderful. The only reason I am purchasing a replacement Macbook is because I dropped my first one and the cost of repairs were excessively high. The specific configuration I purchase contained a Intel i7 dual-core processor, 500GB hard drive, and 4GB RAM. One of the other great benefits of this computer is how easy it is to upgrade. After purchasing this computer I easily opened up the chasis of the Macbook and replaced the HD with a 500GB solid state drive and upgraded the RAM to 8GB. In regards to maintenance & repairs, newer Macbooks are essentially a ""black box"" and end-users trying to repair/upgrade them is excessively rare. Also, the cost of the newer Macbooks are quite costly to repair. In addition to the upgrade mentioned above, I also have the option to remove the CD-ROM drive and replace it with a second hard drive to increase may storage space. Overall, this 13"" Macbook Pro has been wonderful and I would recommend it to most anyone.","I recently purchases 13"" Macbook Pro. Unlike most people who opt to purchase the newer models with the Retina Display, I opted to purchase the 2011 design (in 2016!). In part, I made this decision because I purchased essentially the same model of 13"" Macbook Pro in 2010, and it has been wonderful. The only reason I am purchasing a replacement Macbook is because I dropped my first one and the cost of repairs were excessively high. The specific configuration I purchase contained a Intel i7 dual-core processor, 500GB hard drive, and 4GB RAM. One of the other great benefits of this computer is how easy it is to upgrade. After purchasing this computer I easily opened up the chasis of the Macbook and replaced the HD with a 500GB solid state drive and upgraded the RAM to 8GB. In regards to maintenance & repairs, newer Macbooks are essentially a ""black box"" and end-users trying to repair/upgrade them is excessively rare. Also, the cost of the newer Macbooks are quite costly to repair. In addition to the upgrade mentioned above, I also have the option to remove the CD-ROM drive and replace it with a second hard drive to increase may storage space. Overall, this 13"" Macbook Pro has been wonderful and I would recommend it to most anyone.",5,5.5,5.5,5.5,5,5.5,5.5,5.5
3,Yes,HP,6,"I don't think we should have to write about specific things, it's our reviews. ","A few years ago, I purchased a smaller HP laptop. At first, it was pretty great but I felt the display was a bit small and I didn't really enjoy not having a key pad. About a few months in, the mother board died. I figured this was just a fluke so I got it fixed. Another few months went by and it happened again. Over the course of 2 years, I've had to reimage this laptop. I don't think I'll ever reorder another laptop from HP. No thanks.","A few years ago, I purchased a smaller HP laptop. At first, it was pretty great but I felt the display was a bit small and I didn't really enjoy not having a key pad. About a few months in, the mother board died. I figured this was just a fluke so I got it fixed. Another few months went by and it happened again. Over the course of 2 years, I've had to reimage this laptop. I don't think I'll ever reorder another laptop from HP. No thanks.",2,4.5,5.5,3.5,2,4.5,5.5,3.5
4,Yes,HP Pavillion,6,the feedback was helpful but not enough to make me want to make any changes,I have an HP Pavillion laptop and being that it is a budget laptop it has some good and bad things about it. It seems that HP quality has gone downhill of late. This laptop seems to disconnect from the internet from time to time and can be very annoying at times. The battery died after less than one year and needs to be replaced. I think this is an issue with all laptop batteries but I found this be very dissapointing and costly. To replace the battery is at least 30-50 dollars to find a comparable battery. This laptop does have some features. The keyboard is great and smooth and easy to type on. The display is bright and easy to view. The sound quality is high and the speakers sound great. It has enough memory where you do not have to worry about storage. Overall for a budget laptop I would recommend HP Pavillion. Priced at around $500 it is worth the price and will last a long time. Be careful with the battery though as the battery will need to replaced early on which is the the main downfall of this laptop.,I have an HP Pavillion laptop and being that it is a budget laptop it has some good and bad things about it. It seems that HP quality has gone downhill of late. This laptop seems to disconnect from the internet from time to time and can be very annoying at times. The battery died after less than one year and needs to be replaced. I think this is an issue with all laptop batteries but I found this be very dissapointing and costly. To replace the battery is at least 30-50 dollars to find a comparable battery. This laptop does have some features. The keyboard is great and smooth and easy to type on. The display is bright and easy to view. The sound quality is high and the speakers sound great. It has enough memory where you do not have to worry about storage. Overall for a budget laptop I would recommend HP Pavillion. Priced at around $500 it is worth the price and will last a long time. Be careful with the battery though as the battery will need to replaced early on which is the the main downfall of this laptop.,2.5,5.5,5,4.5,2.5,5.5,5,4.5
4,No,ASUS X553S,7,I added some more information based on what the feeback said that I had forgotten to add. ,"The ASUS X553S is a economical, reliable laptop. I use it for web surfing, school work, word processing, and basic home uses. To be honest, it is sort of a lightweight. I find it to be slow when I am on facebook and other internet sites which is pretty bad. I would expect a computer these days to be able to handle surfing the internet. It does ok I guess but I would like it to run better while using the internet. Are there better computers out there, yes. But not at this price. I would recommend it for a starter computer for a college student to do school work on. You could probably not play any games with lots of graphics.","The ASUS X553S is a economical, reliable laptop. I use it for web surfing, school work, word processing, and basic home uses. To be honest, it is sort of a lightweight. I find it to be slow when I am on facebook and other internet sites which is pretty bad. I would expect a computer these days to be able to handle surfing the internet. It does ok I guess but I would like it to run better while using the internet. Are there better computers out there, yes. But not at this price. I would recommend it for a starter computer for a college student to do school work on. You could probably not play any games with lots of graphics. The battery life is acceptable, I can get about 3 or 4 hours of on screen time. The asthtics are good, sleek and lightweight. Overall, a economical choice in a laptop.",2,4.5,5,3.5,3,5.5,5.5,4.5
